Iteration,Award Category,Winner,Film
7,Best Writing (Adaptation),The Thin Man,The Thin Man
7,Best Writing (Adaptation),Viva Villa!,Viva Villa!
7,Best Short Subject (Comedy),La Cucaracha,La Cucaracha
7,Best Short Subject (Comedy),Men in Black,Men in Black
7,Best Short Subject (Comedy),"What, No Men!","What, No Men!"
7,Best Short Subject (Novelty),City of Wax,City of Wax
7,Best Short Subject (Novelty),Bosom Friends,Bosom Friends
7,Best Short Subject (Novelty),Strikes and Spares,Strikes and Spares
7,Best Short Subject (Cartoon),The Tortoise and the Hare,The Tortoise and the Hare
7,Best Short Subject (Cartoon),Holiday Land,Holiday Land
7,Best Short Subject (Cartoon),Jolly Little Elves,Jolly Little Elves
7,Best Music (Scoring),One Night of Love,One Night of Love
7,Best Music (Scoring),The Gay Divorcee,The Gay Divorcee
7,Best Music (Scoring),The Lost Patrol,The Lost Patrol
7,Best Music (Song),"""The Continental"" from The Gay Divorcee",The Gay Divorcee
7,Best Music (Song),"""Carioca"" from Flying Down to Rio",Flying Down to Rio
7,Best Music (Song),"""Love in Bloom"" from She Loves Me Not",She Loves Me Not
7,Best Sound Recording,One Night of Love,One Night of Love
7,Best Sound Recording,The Affairs of Cellini,The Affairs of Cellini
7,Best Sound Recording,Cleopatra,Cleopatra
7,Best Sound Recording,Flirtation Walk,Flirtation Walk
7,Best Sound Recording,The Gay Divorcee,The Gay Divorcee
7,Best Sound Recording,Imitation of Life,Imitation of Life
7,Best Sound Recording,Viva Villa!,Viva Villa!
7,Best Sound Recording,The White Parade,The White Parade
7,Best Art Direction,The Merry Widow,The Merry Widow
7,Best Art Direction,The Affairs of Cellini,The Affairs of Cellini
7,Best Art Direction,The Gay Divorcee,The Gay Divorcee
7,Best Cinematography,Cleopatra,Cleopatra
7,Best Cinematography,The Affairs of Cellini,The Affairs of Cellini
7,Best Cinematography,Operator 13,Operator 13
7,Best Film Editing,Eskimo,Eskimo
7,Best Film Editing,Cleopatra,Cleopatra
7,Best Film Editing,One Night of Love,One Night of Love
7,Best Assistant Director,Viva Villa!,Viva Villa!
7,Best Assistant Director,Cleopatra,Cleopatra
7,Best Assistant Director,Imitation of Life,Imitation of Life
8,Outstanding Production,Mutiny on the Bounty,Mutiny on the Bounty
8,Outstanding Production,Alice Adams,Alice Adams
8,Outstanding Production,Broadway Melody of 1936,Broadway Melody of 1936
8,Outstanding Production,Captain Blood,Captain Blood
8,Outstanding Production,David Copperfield,David Copperfield
8,Outstanding Production,The Informer,The Informer
8,Outstanding Production,The Lives of a Bengal Lancer,The Lives of a Bengal Lancer
8,Outstanding Production,A Midsummer Night's Dream,A Midsummer Night's Dream
8,Outstanding Production,Les Misérables,Les Misérables
8,Outstanding Production,Naughty Marietta,Naughty Marietta
8,Outstanding Production,Ruggles of Red Gap,Ruggles of Red Gap
8,Outstanding Production,Top Hat,Top Hat
8,Best Directing,John Ford,The Informer
8,Best Directing,Michael Curtiz,Captain Blood
8,Best Directing,Henry Hathaway,The Lives of a Bengal Lancer
8,Best Directing,Frank Lloyd,Mutiny on the Bounty
8,Best Actor,Victor McLaglen,The Informer
8,Best Actor,Clark Gable,Mutiny on the Bounty
8,Best Actor,Charles Laughton,Mutiny on the Bounty
8,Best Actor,Paul Muni,Black Fury
8,Best Actor,Franchot Tone,Mutiny on the Bounty
8,Best Actress,Bette Davis,Dangerous
8,Best Actress,Elisabeth Bergner,Escape Me Never
8,Best Actress,Claudette Colbert,Private Worlds
8,Best Actress,Katharine Hepburn,Alice Adams
8,Best Actress,Miriam Hopkins,Becky Sharp
8,Best Actress,Merle Oberon,The Dark Angel
8,Best Writing (Original Story),The Scoundrel,The Scoundrel
8,Best Writing (Original Story),Broadway Melody of 1936,Broadway Melody of 1936
8,Best Writing (Original Story),G Men,G Men
8,Best Writing (Original Story),The Gay Deception,The Gay Deception
8,Best Writing (Screenplay),The Informer,The Informer
8,Best Writing (Screenplay),Captain Blood,Captain Blood
8,Best Writing (Screenplay),The Lives of a Bengal Lancer,The Lives of a Bengal Lancer
8,Best Writing (Screenplay),Mutiny on the Bounty,Mutiny on the Bounty
8,Best Short Subject (Comedy),How to Sleep,How to Sleep
8,Best Short Subject (Comedy),"Oh, My Nerves","Oh, My Nerves"
8,Best Short Subject (Comedy),Tit for Tat,Tit for Tat
8,Best Short Subject (Novelty),Wings Over Everest,Wings Over Everest
8,Best Short Subject (Novelty),Audioscopiks,Audioscopiks
8,Best Short Subject (Novelty),Camera Thrills,Camera Thrills
8,Best Short Subject (Cartoon),Three Orphan Kittens,Three Orphan Kittens
8,Best Short Subject (Cartoon),The Calico Dragon,The Calico Dragon
8,Best Short Subject (Cartoon),Who Killed Cock Robin?,Who Killed Cock Robin?
8,Best Music (Scoring),The Informer,The Informer
8,Best Music (Scoring),Captain Blood,Captain Blood
8,Best Music (Scoring),Mutiny on the Bounty,Mutiny on the Bounty
8,Best Music (Scoring),Peter Ibbetson,Peter Ibbetson
8,Best Music (Song),"""Lullaby of Broadway"" from Gold Diggers of 1935",Gold Diggers of 1935
8,Best Music (Song),"""Cheek to Cheek"" from Top Hat",Top Hat
8,Best Music (Song),"""Lovely to Look At"" from Roberta",Roberta
8,Best Sound Recording,Naughty Marietta,Naughty Marietta
8,Best Sound Recording,"$1,000 a Minute","$1,000 a Minute"
8,Best Sound Recording,Bride of Frankenstein,Bride of Frankenstein
8,Best Sound Recording,Captain Blood,Captain Blood
8,Best Sound Recording,The Dark Angel,The Dark Angel
8,Best Sound Recording,I Dream Too Much,I Dream Too Much
8,Best Sound Recording,The Lives of a Bengal Lancer,The Lives of a Bengal Lancer
8,Best Sound Recording,Love Me Forever,Love Me Forever
8,Best Sound Recording,Thanks a Million,Thanks a Million
8,Best Art Direction,The Dark Angel,The Dark Angel
8,Best Art Direction,The Lives of a Bengal Lancer,The Lives of a Bengal Lancer
8,Best Art Direction,Top Hat,Top Hat
8,Best Cinematography,A Midsummer Night's Dream,A Midsummer Night's Dream
8,Best Cinematography,Barbary Coast,Barbary Coast
8,Best Cinematography,The Crusades,The Crusades
8,Best Cinematography,Les Misérables,Les Misérables
8,Best Film Editing,A Midsummer Night's Dream,A Midsummer Night's Dream
8,Best Film Editing,David Copperfield,David Copperfield
8,Best Film Editing,The Informer,The Informer
8,Best Film Editing,The Lives of a Bengal Lancer,The Lives of a Bengal Lancer
8,Best Film Editing,Les Misérables,Les Misérables
8,Best Film Editing,Mutiny on the Bounty,Mutiny on the Bounty
8,Best Dance Direction,Broadway Melody of 1936 and Folies Bergère de Paris,Broadway Melody of 1936
8,Best Dance Direction,All the King's Horses and The Big Broadcast of 1936,All the King's Horses
8,Best Dance Direction,Broadway Hostess and Go into Your Dance,Broadway Hostess
8,Best Dance Direction,Gold Diggers of 1935,Gold Diggers of 1935
8,Best Dance Direction,King of Burlesque,King of Burlesque
8,Best Dance Direction,She,She
8,Best Dance Direction,Top Hat,Top Hat
8,Best Assistant Director,The Lives of a Bengal Lancer,The Lives of a Bengal Lancer
8,Best Assistant Director,David Copperfield,David Copperfield
8,Best Assistant Director,Les Misérables,Les Misérables
8,Best Assistant Director,A Midsummer Night's Dream,A Midsummer Night's Dream
9,Outstanding Production,The Great Ziegfeld,The Great Ziegfeld
9,Outstanding Production,Anthony Adverse,Anthony Adverse
9,Outstanding Production,Dodsworth,Dodsworth
9,Outstanding Production,Libeled Lady,Libeled Lady
9,Outstanding Production,Mr. Deeds Goes to Town,Mr. Deeds Goes to Town
9,Outstanding Production,Romeo and Juliet,Romeo and Juliet
9,Outstanding Production,San Francisco,San Francisco
9,Outstanding Production,The Story of Louis Pasteur,The Story of Louis Pasteur
9,Outstanding Production,A Tale of Two Cities,A Tale of Two Cities
9,Outstanding Production,Three Smart Girls,Three Smart Girls
9,Best Directing,Frank Capra,Mr. Deeds Goes to Town
9,Best Directing,William Wyler,Dodsworth
9,Best Directing,Robert Z. Leonard,The Great Ziegfeld
9,Best Directing,Gregory La Cava,My Man Godfrey
9,Best Directing,W. S. Van Dyke,San Francisco
9,Best Actor,Paul Muni,The Story of Louis Pasteur
9,Best Actor,Gary Cooper,Mr. Deeds Goes to Town
9,Best Actor,Walter Huston,Dodsworth
9,Best Actor,William Powell,My Man Godfrey
9,Best Actor,Spencer Tracy,San Francisco
9,Best Actress,Luise Rainer,The Great Ziegfeld
9,Best Actress,Irene Dunne,Theodora Goes Wild
9,Best Actress,Gladys George,Valiant Is the Word for Carrie
9,Best Actress,Carole Lombard,My Man Godfrey
9,Best Actress,Norma Shearer,Romeo and Juliet
9,Best Actor in a Supporting Role,Walter Brennan,Come and Get It
9,Best Actor in a Supporting Role,Mischa Auer,My Man Godfrey
9,Best Actor in a Supporting Role,Stuart Erwin,Pigskin Parade
9,Best Actor in a Supporting Role,Basil Rathbone,Romeo and Juliet
9,Best Actor in a Supporting Role,Akim Tamiroff,The General Died at Dawn
9,Best Actress in a Supporting Role,Gale Sondergaard,Anthony Adverse
9,Best Actress in a Supporting Role,Beulah Bondi,The Gorgeous Hussy
9,Best Actress in a Supporting Role,Alice Brady,My Man Godfrey
9,Best Actress in a Supporting Role,Bonita Granville,These Three
9,Best Actress in a Supporting Role,Maria Ouspenskaya,Dodsworth
9,Best Writing (Original Story),The Story of Louis Pasteur,The Story of Louis Pasteur
9,Best Writing (Original Story),Fury,Fury
9,Best Writing (Original Story),The Great Ziegfeld,The Great Ziegfeld
9,Best Writing (Original Story),San Francisco,San Francisco
9,Best Writing (Original Story),Three Smart Girls,Three Smart Girls
9,Best Writing (Screenplay),The Story of Louis Pasteur,The Story of Louis Pasteur
9,Best Writing (Screenplay),After the Thin Man,After the Thin Man
9,Best Writing (Screenplay),Dodsworth,Dodsworth
9,Best Writing (Screenplay),Mr. Deeds Goes to Town,Mr. Deeds Goes to Town
9,Best Writing (Screenplay),My Man Godfrey,My Man Godfrey
9,Best Short Subject (One-Reel),Bored of Education,Bored of Education
9,Best Short Subject (One-Reel),Moscow Moods,Moscow Moods
9,Best Short Subject (One-Reel),Wanted,Wanted – A Master
9,Best Short Subject (Two-Reel),The Public Pays,The Public Pays
9,Best Short Subject (Two-Reel),Double or Nothing,Double or Nothing
9,Best Short Subject (Two-Reel),Dummy Ache,Dummy Ache
9,Best Short Subject (Color),Give Me Liberty,Give Me Liberty
9,Best Short Subject (Color),La Fiesta de Santa Barbara,La Fiesta de Santa Barbara
9,Best Short Subject (Color),Popular Science J-6-2,Popular Science J-6-2
9,Best Short Subject (Cartoon),The Country Cousin,The Country Cousin
9,Best Short Subject (Cartoon),The Old Mill Pond,The Old Mill Pond
9,Best Short Subject (Cartoon),Popeye the Sailor Meets Sindbad the Sailor,Popeye the Sailor Meets Sindbad the Sailor
9,Best Music (Scoring),Anthony Adverse,Anthony Adverse
9,Best Music (Scoring),The Charge of the Light Brigade,The Charge of the Light Brigade
9,Best Music (Scoring),The Garden of Allah,The Garden of Allah
9,Best Music (Scoring),The General Died at Dawn,The General Died at Dawn
9,Best Music (Scoring),Winterset,Winterset
9,Best Music (Song),"""The Way You Look Tonight"" from Swing Time",Swing Time
9,Best Music (Song),"""Did I Remember"" from Suzy",Suzy
9,Best Music (Song),"""I've Got You Under My Skin"" from Born to Dance",Born to Dance
9,Best Music (Song),"""A Melody From the Sky"" from Trail of the Lonesome Pine",Trail of the Lonesome Pine
9,Best Music (Song),"""Pennies from Heaven"" from Pennies from Heaven",Pennies from Heaven
9,Best Music (Song),"""When Did You Leave Heaven"" from Sing, Baby, Sing","Sing, Baby, Sing"
9,Best Sound Recording,San Francisco,San Francisco
