Movie_Name,Release_Date,Box_Office,Run_Time,Languages
A Shaun the Sheep Movie: Farmageddon,2019-01-01,47800000.00,87,
A Ship Comes In,1928-01-01,,70,
A Ship Is Born,1942-01-01,,22,
A Shocking Accident,1982-01-01,,25,
A Simple Plan,1998-01-01,16300000.00,121,
A Simple Story,1978-01-01,,107,
A Single Life,2014-01-01,,3,
A Single Man,2009-01-01,25000000.00,100,
A Sister,2018-01-01,,16,
A Soldier's Story,1984-01-01,21821347.00,101,
A Song to Remember,1945-01-01,7000000.00,112,
A Space to Grow,1968-01-01,,,
A Special Day,1977-01-01,,106,
A Star Is Born,1937-01-01,2370000.00,111,
A Star Is Born,1954-01-01,6000000.00,182,
A Star is Born,1976-01-01,80000000.00,142,
A Star is Born,2018-01-01,436200000.00,136,
A Stitch for Time,1987-01-01,,,
A Stolen Life,1946-01-01,4785000.00,109,
A Story of Healing,1997-01-01,,28,
A Streetcar Named Desire,1951-01-01,8000000.00,125,
A Symposium on Popular Songs,1962-01-01,,20,
A Tale of Two Cities,1935-01-01,2300000.00,123,
A Thousand and One Nights,1945-01-01,,94,
A Thousand Clowns,1965-01-01,2400000.00,116,
A Time for Burning,1966-01-01,,56,
A Time for Justice,1994-01-01,,38,
A Time Out of War,1954-01-01,,20,
A Time to Love and a Time to Die,1958-01-01,1600000.00,132,
A Touch of Class,1973-01-01,16800000.00,106,
A Tree Grows in Brooklyn,1945-01-01,3000000.00,128,
A Very Long Engagement,2004-01-01,69400000.00,134,
A War,2015-01-01,880073.00,115,
A Way Out of the Wilderness,1968-01-01,,,
A Wild Hare,1940-01-01,,8,
A Woman of Affairs,1928-01-01,1370000.00,91,
A Woman Under the Influence,1974-01-01,6100000.00,146,
A Yank in the R.A.F.,1941-01-01,2063000.00,98,
A Year Toward Tomorrow,1966-01-01,,25,
A.I. Artificial Intelligence,2001-01-01,235900000.00,146,
Abacus: Small Enough to Jail,2016-01-01,80527.00,88,
Abe Lincoln in Illinois,1940-01-01,666000.00,110,
About a Boy,2002-01-01,130500000.00,101,
About Schmidt,2002-01-01,105800000.00,124,
Above and Beyond,1952-01-01,3980000.00,122,
Absence of Malice,1981-01-01,40700000.00,116,
Ace in the Hole,1951-01-01,1300000.00,111,
Across the Universe,2007-01-01,29600000.00,133,
Action in the North Atlantic,1943-01-01,3460000.00,127,
Ad Astra,2019-01-01,135200000.00,124,
Ådalen 31,1969-01-01,,114,
Adam,1992-01-01,,6,
Adam and Dog,2011-01-01,,16,
Adam Clayton Powell,1989-01-01,,54,
Adam's Rib,1949-01-01,3947000.00,101,
Adaptation,2002-01-01,32800000.00,115,
Addams Family Values,1993-01-01,111000000.00,94,
Address Unknown,1944-01-01,,72,
Adolescence,1966-01-01,,22,
Adventure in the Bronx,1941-01-01,,12,
Adventures in Perception,1971-01-01,,21,
Adventures of Don Juan,1948-01-01,4772000.00,110,
Affair in Trinidad,1952-01-01,7000000.00,98,
Affairs of the Art,2021-01-01,,16,
Affliction,1997-01-01,6300000.00,114,
"Africa, Prelude to Victory",1942-01-01,,22,
After the Axe,1982-01-01,,,
After the Thin Man,1936-01-01,3165000.00,112,
After the Wedding,2006-01-01,11600000.00,124,
Afterglow,1997-01-01,2465960.00,113,
Aftersun,2022-01-01,9700000.00,101,
Against All Odds,1984-01-01,21700000.00,121,
Against Wind and Tide: A Cuban Odyssey,1981-01-01,,60,
Agatha,1979-01-01,7500000.00,98,
Agee,1980-01-01,,98,
Agnes of God,1985-01-01,25600000.00,99,
"Agueda Martinez: Our People, Our Country",1977-01-01,,16,
Air Force,1943-01-01,2700000.00,124,
Air Force One,1997-01-01,315200000.00,124,
Airport,1970-01-01,128400000.00,137,
Airport '77,1977-01-01,91100000.00,113,
Ajami,2009-01-01,2200000.00,120,
Ala Kachuu – Take and Run,2020-01-01,,38,
Aladdin,1992-01-01,504100000.00,90,
Alaska Wilderness Lake,1971-01-01,,,
Alaska: Spirit of the Wild,1997-01-01,,40,
Albert Nobbs,2011-01-01,8500000.00,113,
Albert Schweitzer,1957-01-01,,85,
Alexander's Ragtime Band,1938-01-01,3600000.00,106,
Alfie,1966-01-01,18900000.00,114,
Algiers,1938-01-01,951801.00,99,
Ali,2001-01-01,87700000.00,159,
Ali Baba Goes to Town,1937-01-01,,80,
Alibi,1929-01-01,,90,
Alice,1990-01-01,7300000.00,106,
Alice Adams,1935-01-01,770000.00,99,
Alice Doesn't Live Here Anymore,1974-01-01,18600000.00,112,
Alice in Wonderland,1951-01-01,2400000.00,75,
Alice in Wonderland,2010-01-01,1025000000.00,108,
Alice's Restaurant,1969-01-01,6100000.00,111,
Alien,1979-01-01,188000000.00,116,
Alien 3,1992-01-01,160.00,114,
Alien: Romulus,2024-01-01,350900000.00,119,
Aliens,1986-01-01,131.10,137,
Alive in the Deep,1941-01-01,,25,
All About Eve,1950-01-01,8400000.00,138,
All About My Mother,1999-01-01,68000000.00,104,
All Is Lost,2013-01-01,13600000.00,105,
All Nothing,1978-01-01,,11,
All Quiet on the Western Front,1930-01-01,3000000.00,152,
All Quiet on the Western Front,2022-01-01,,147,
All That Breathes,2022-01-01,111158.00,91,
All That Jazz,1979-01-01,37800000.00,123,
All That Money Can Buy,1941-01-01,,,
All the Beauty and the Bloodshed,2022-01-01,1700000.00,122,
All the Brothers Were Valiant,1953-01-01,4628000.00,95,
All the King's Horses,1935-01-01,,87,
All the King's Men,1949-01-01,4200000.00,110,
All the Money in the World,2017-01-01,57000000.00,135,
All the President's Men,1976-01-01,70600000.00,138,
All Things Fair,1995-01-01,2000000.00,130,
"All This, and Heaven Too",1940-01-01,,141,
All-American Co-Ed,1941-01-01,190107.00,53,
Allied,2016-01-01,119500000.00,124,
Almost Famous,2000-01-01,47400000.00,122,
Aloma of the South Seas,1941-01-01,2000000.00,78,
Alone yet Not Alone,2013-01-01,887851.00,103,
Alsino and the Condor,1982-01-01,,89,
Altered States,1980-01-01,19900000.00,103,
Alvorada,1962-01-01,,77,
Always a New Beginning,1974-01-01,,90,
Always in My Heart,1942-01-01,2098000.00,92,
Ama Girls,1958-01-01,,29,
Amadeus,1984-01-01,90000000.00,161,
Amarcord,1973-01-01,2300000.00,124,
Amazon,1997-01-01,,38,
Amélie,2001-01-01,174400000.00,123,
America America,1963-01-01,,174,
American Beauty,1999-01-01,356300000.00,122,
American Dream,1990-01-01,269823.00,100,
American Factory,2019-01-01,,110,
American Fiction,2023-01-01,23000000.00,117,
American Gangster,2007-01-01,269800000.00,157,
American Graffiti,1973-01-01,140000000.00,112,
American History X,1998-01-01,23900000.00,119,
American Hustle,2013-01-01,251200000.00,138,
American Shoeshine,1975-01-01,,30,
American Sniper,2014-01-01,547400000.00,132,
American Splendor,2003-01-01,8700000.00,101,
American Symphony,2023-01-01,,104,
Americas in Transition,1981-01-01,,,
Amistad,1997-01-01,58300000.00,154,
Amores perros,2000-01-01,20900000.00,153,
Amour,2012-01-01,36800000.00,128,
Amphibious Fighters,1943-01-01,,10,
Amy,2015-01-01,23700000.00,128,
An Affair to Remember,1957-01-01,3850000.00,115,
An American Dream,1966-01-01,,103,
An American in Paris,1951-01-01,7000000.00,113,
An American Tail,1986-01-01,84000000.00,81,
An American Werewolf in London,1981-01-01,62000000.00,97,
An Education,2009-01-01,26100000.00,100,
An Encounter with Faces,1978-01-01,,21,
An Essay on Matisse,1996-01-01,,,
An Impression of John Steinbeck: Writer,1969-01-01,,22,
An Inconvenient Truth,2006-01-01,49800000.00,97,
An Irish Goodbye,2022-01-01,,23,
An Occurrence at Owl Creek Bridge,1962-01-01,,28,
An Officer and a Gentleman,1982-01-01,190000000.00,124,
An Ostrich Told Me the World Is Fake and I Think I Believe It,2021-01-01,,11,
An Unmarried Woman,1978-01-01,24000000.00,125,
Anastasia,1956-01-01,4300000.00,105,
Anastasia,1997-01-01,140000000.00,94,
Anatomy of a Fall,2023-01-01,36000000.00,152,
Anatomy of a Murder,1959-01-01,8000000.00,160,
Anchors Aweigh,1945-01-01,7500000.00,140,
And Now My Love,1974-01-01,,150,
Angel and Big Joe,1975-01-01,,27,
Angela's Ashes,1999-01-01,37300000.00,145,
Angels and Insects,1995-01-01,3400000.00,116,
Angels Over Broadway,1940-01-01,,79,
Angels with Dirty Faces,1938-01-01,1700000.00,97,
Angry Harvest,1985-01-01,,105,
Animal Behaviour,2018-01-01,,14,
Animal Kingdom,2010-01-01,7200000.00,113,
Anna,1987-01-01,1200000.00,100,
Anna & Bella,1984-01-01,,8,
Anna and the King,1999-01-01,114000000.00,148,
Anna and the King of Siam,1946-01-01,3500000.00,128,
Anna Christie,1930-01-01,1499000.00,89,
Anna Karenina,2012-01-01,68900000.00,130,
Anne Frank Remembered,1995-01-01,,117,
Anne of the Thousand Days,1969-01-01,6134264.00,145,
Annie,1982-01-01,57100000.00,128,
Annie Get Your Gun,1950-01-01,7756000.00,107,
Annie Hall,1977-01-01,44000000.00,93,
Anomalisa,2015-01-01,5700000.00,90,
Anonymous,2011-01-01,15400000.00,130,
Anora,2024-01-01,52200000.00,139,
Another Round,2020-01-01,21700000.00,116,
Another Year,2010-01-01,20000000.00,129,
Antarctic Crossing,1958-01-01,,47,
Anthony Adverse,1936-01-01,2750000.00,141,
Antonia: A Portrait of the Woman,1974-01-01,,58,
Antonia's Line,1995-01-01,4200000.00,102,
Anuja,2024-01-01,,22,
Ape and Super-Ape,1972-01-01,,104,
Apocalypse Now,1979-01-01,104.80,147,
Apocalypto,2006-01-01,120700000.00,138,
Apollo 13,1995-01-01,355200000.00,140,
Appointment for Love,1941-01-01,,89,
April Love,1957-01-01,3700000.00,97,
Aquamania,1961-01-01,,8,
Aquatic House Party,1950-01-01,,10,
Arabian Nights,1942-01-01,3453416.00,87,
"Argentina, 1985",2022-01-01,659000000.00,140,
Argo,2012-01-01,232300000.00,120,
"Arise, My Love",1940-01-01,,110,
Arizona,1940-01-01,,122,
Armageddon,1998-01-01,553700000.00,150,
Arms and the Man,1958-01-01,,100,
Army Champions,1941-01-01,,11,
Army Girl,1938-01-01,,80,
Around the World in 80 Days,1956-01-01,42000000.00,182,
Arrival,2016-01-01,203400000.00,116,
Arrowsmith,1931-01-01,1250000.00,108,
Art Is...,1971-01-01,,,
Arthur,1981-01-01,95500000.00,97,
Arthur and Lillie,1975-01-01,,29,
Arthur Rubinstein – The Love of Life,1969-01-01,,89,
Artie Shaw: Time Is All You've Got,1985-01-01,,115,
Artists and Models,1937-01-01,,97,
Artists and Orphans: A True Drama,2001-01-01,,40,
As Good as It Gets,1997-01-01,314100000.00,139,
As It Is in Heaven,2004-01-01,18328469.00,132,
Asad,2012-01-01,,,
Ascension,2021-01-01,17200.00,97,
Asylum,2003-01-01,,20,
At Eternity's Gate,2018-01-01,11500000.00,110,
At Night,2007-01-01,,39,
At the Edge of Conquest: The Journey of Chief Wai-Wai,1992-01-01,,,
Atlantic City,1980-01-01,12700000.00,104,
Atomic Power,1946-01-01,,18,
Atonement,2007-01-01,131000000.00,123,
Attica,2021-01-01,,116,
Au revoir les enfants,1987-01-01,4500000.00,104,
Audible,2021-01-01,,39,
Audioscopiks,1935-01-01,,8,
August Rush,2007-01-01,65300000.00,114,
August: Osage County,2013-01-01,74200000.00,120,
Auntie Mame,1958-01-01,23300000.00,143,
Austin Powers: The Spy Who Shagged Me,1999-01-01,312000000.00,95,
Australia,2008-01-01,211800000.00,165,
Autism Is a World,2004-01-01,,,
Autumn Sonata,1978-01-01,2000000.00,99,
Avalon,1990-01-01,15700000.00,126,
Avatar,2009-01-01,2923000000.00,162,
Avatar: The Way of Water,2022-01-01,2320000000.00,192,
Ave Maria,2015-01-01,559502.00,14,
Avengers: Endgame,2019-01-01,2799000000.00,181,
Avengers: Infinity War,2018-01-01,2052000000.00,149,
Awakenings,1990-01-01,108700000.00,121,
Away from Her,2006-01-01,9100000.00,110,
Aya,2012-01-01,,40,
Ayn Rand: A Sense of Life,1996-01-01,,145,
B.F.'s Daughter,1948-01-01,1910000.00,108,
Babe,1995-01-01,254100000.00,92,
Babe: Pig in the City,1998-01-01,69100000.00,96,
Babel,2006-01-01,135300000.00,144,
Babes in Arms,1939-01-01,3335000.00,93,
Babes in Toyland,1961-01-01,4600000.00,105,
Babes on Broadway,1941-01-01,3800000.00,118,
Babette's Feast,1987-01-01,4400000.00,102,
Baby Doll,1956-01-01,2300000.00,114,
Baby Driver,2017-01-01,226900000.00,113,
Babylon,2022-01-01,64900000.00,189,
Bachelor in Paradise,1961-01-01,3500000.00,109,
Bachelor Mother,1939-01-01,1975000.00,82,
Back Street,1941-01-01,,89,
Back Street,1961-01-01,3500000.00,107,
Back to the Future,1985-01-01,388800000.00,116,
Back to the Future Part II,1989-01-01,332500000.00,108,
Backdraft,1991-01-01,152400000.00,137,
Background,1973-01-01,,19,
Bad Day at Black Rock,1955-01-01,3788000.00,81,
Bad Girl,1931-01-01,1100000.00,90,
Badgered,2005-01-01,,6,
Bagdad Cafe,1987-01-01,,108,
Balalaika,1939-01-01,,102,
Balance,1989-01-01,,7,
Ball of Fire,1941-01-01,2641000.00,111,
Ballad of a Soldier,1959-01-01,167000.00,88,
Balseros,2002-01-01,,,
Bambi,1942-01-01,267400000.00,70,
Bang the Drum Slowly,1973-01-01,,96,
Banjo on My Knee,1936-01-01,,95,
Banning,1967-01-01,,102,
Bao,2018-01-01,,8,
Baptism of Fire,1943-01-01,,,
Barbary Coast,1935-01-01,,90,
Barbie,2023-01-01,1446000000.00,114,
"Bardo, False Chronicle of a Handful of Truths",2022-01-01,43116.00,174,
Barefoot in the Park,1967-01-01,,106,
Barney's Version,2010-01-01,12100000.00,134,
Barry Lyndon,1975-01-01,31500000.00,185,
Barton Fink,1991-01-01,6200000.00,116,
Basic Instinct,1992-01-01,352900000.00,128,
Batman,1989-01-01,411600000.00,126,
Batman Begins,2005-01-01,373700000.00,140,
Batman Forever,1995-01-01,336600000.00,122,
Batman Returns,1992-01-01,266800000.00,126,
Battle Cry,1955-01-01,8000000.00,149,
Battle of Berlin,1973-01-01,,,
Battle of Neretva,1969-01-01,,175,
Battleground,1949-01-01,6269000.00,118,
Beach Red,1967-01-01,,105,
Beaches,1988-01-01,57000000.00,123,
Bead Game,1977-01-01,,6,
Bear Country,1953-01-01,,33,
Bear Story,2014-01-01,,11,
Beasts of the Southern Wild,2012-01-01,23300000.00,93,
Beau Geste,1939-01-01,,112,
Beaufort,2007-01-01,,125,
Beautiful Men,2023-01-01,,19,
Beauty and the Beach,1941-01-01,,11,
Beauty and the Beast,1991-01-01,451200000.00,84,
Beauty and the Beast,2017-01-01,1266000000.00,129,
Beauty and the Bull,1954-01-01,,,
Because You're Mine,1952-01-01,4571000.00,103,
Becket,1964-01-01,9100000.00,148,
Becky Sharp,1935-01-01,,84,
Bedknobs and Broomsticks,1971-01-01,17900000.00,118,
Beep Prepared,1961-01-01,,603,
Beethoven's 2nd,1993-01-01,118200000.00,89,
Beetlejuice,1988-01-01,84600000.00,92,
Before Midnight,2013-01-01,23300000.00,109,
Before Night Falls,2000-01-01,8500000.00,133,
Before Sunset,2004-01-01,15800000.00,80,
Before the Mountain Was Moved,1970-01-01,,60,
Before the Rain,1994-01-01,,113,
Begin Again,2013-01-01,63400000.00,104,
Begin the Beguine,1982-01-01,190713512.00,87,
Beginners,2010-01-01,14300000.00,104,
Behind the News,1940-01-01,,75,
Being John Malkovich,1999-01-01,23100000.00,113,
Being Julia,2004-01-01,14300000.00,104,
Being the Ricardos,2021-01-01,,131,
Being There,1979-01-01,30200000.00,130,
Belfast,2021-01-01,49000000.00,97,
"Bell, Book and Candle",1958-01-01,2500000.00,106,
Belle Époque,1992-01-01,11000000.00,109,
Belle of the Yukon,1944-01-01,,84,
Bells Are Ringing,1960-01-01,3600000.00,126,
Beloved,1998-01-01,22900000.00,172,
Ben,1972-01-01,2300000.00,94,
Ben and Me,1953-01-01,,21,
Ben-Hur,1959-01-01,146900000.00,212,
Ben's Mill,1982-01-01,,59,
Beneath the 12-Mile Reef,1953-01-01,3600000.00,102,
Benji,1974-01-01,45000000.00,85,
Benjy,1951-01-01,,,
Berkeley in the Sixties,1990-01-01,,118,
Berkeley Square,1933-01-01,,85,
Best Boy,1979-01-01,,110,
Best Friends,1982-01-01,36800000.00,108,
Bestia,2021-01-01,,15,
Betrayal,1983-01-01,,95,
Better Days,2019-01-01,231500000.00,135,
Better Man,2024-01-01,20300000.00,135,
Betty Blue,1986-01-01,2000000.00,120,
Between Heaven and Hell,1956-01-01,2000000.00,94,
Beverly Hills Cop,1984-01-01,316300000.00,105,
Beverly Hills Cop II,1987-01-01,299970000.00,103,
Beyond Imagining: Margaret Anderson and the 'Little Review',1992-01-01,,30,
Beyond Silence,1960-01-01,,,
Beyond Silence,1996-01-01,11500000.00,112,
Beyond the Forest,1949-01-01,1738000.00,97,
Beyond the Lights,2014-01-01,14600000.00,116,
Beyond the Line of Duty,1942-01-01,,22,
Beyond the Walls,1985-01-01,400000.00,103,
Bicentennial Man,1999-01-01,87400000.00,132,
Bicycle Thieves,1948-01-01,428978.00,89,
Big,1988-01-01,151700000.00,104,
Big Deal on Madonna Street,1958-01-01,,107,
Big Fish,2003-01-01,123200000.00,125,
Big Hero 6,2014-01-01,657800000.00,102,
Big Mama,2000-01-01,,35,
Bill and Coo,1948-01-01,,61,
Billy Budd,1962-01-01,25000000.00,123,
Billy Elliot,2000-01-01,109300000.00,110,
Billy Rose's Jumbo,1962-01-01,4000000.00,127,
Billy the Kid,1941-01-01,2432000.00,94,
Binta and the Great Idea,2004-01-01,,31,
Bird,1988-01-01,2000000.00,160,
Birdman of Alcatraz,1962-01-01,3000000.00,143,
Birdman or (The Unexpected Virtue of Ignorance),2014-01-01,103200000.00,119,
Birdnesters of Thailand,1991-01-01,,26,
Birds Anonymous,1957-01-01,,656,
"Birds Do It, Bees Do It",1974-01-01,,90,
Birth of the Blues,1941-01-01,,84,
Birthday Boy,2004-01-01,,8,
Bite the Bullet,1975-01-01,11000000.00,131,
Bitter Rice,1949-01-01,,108,
Bitter Sweet,1940-01-01,2200000.00,94,
Biutiful,2010-01-01,24700000.00,147,
Black and White in Color,1976-01-01,,90,
Black Box Diaries,2024-01-01,27788.00,103,
Black Fox,1962-01-01,,89,
Black Fury,1935-01-01,,94,
Black Hawk Down,2001-01-01,173000000.00,144,
Black Legion,1937-01-01,,83,
Black Narcissus,1947-01-01,,100,
Black Orpheus,1959-01-01,750000.00,107,
Black Panther,2018-01-01,1350000000.00,134,
Black Panther: Wakanda Forever,2022-01-01,859200000.00,161,
Black Rain,1989-01-01,134200000.00,125,
Black Sheep,2018-01-01,,26,
Black Swan,2010-01-01,329300000.00,108,
Blackboard Jungle,1955-01-01,8144000.00,101,
Blackfly,1991-01-01,,5,
BlacKkKlansman,2018-01-01,93400000.00,135,
Blackwood,1976-01-01,,28,
Blade Runner,1982-01-01,41800000.00,117,
Blade Runner 2049,2017-01-01,276600000.00,163,
Blake,1969-01-01,,19,
Blaze,1989-01-01,19131246.00,117,
Blaze Busters,1950-01-01,,,
Blazing Saddles,1974-01-01,119600000.00,93,
Bless the Beasts and Children,1971-01-01,,109,
Blind Vaysha,2016-01-01,,8,
Blithe Spirit,1945-01-01,,96,
Blitz Wolf,1942-01-01,,10,
Block-Heads,1938-01-01,,5529,
Blockade,1938-01-01,665523.00,85,
Blonde,2022-01-01,,166,
Blood and Sand,1941-01-01,2717200.00,125,
Blood Diamond,2006-01-01,171700000.00,143,
Blood on the Land,1966-01-01,,130,
Blood on the Sun,1945-01-01,3400000.00,94,
Blood Ties: The Life and Work of Sally Mann,1994-01-01,,30,
Bloodbrothers,1978-01-01,,116,
Blossoms in the Dust,1941-01-01,2658000.00,99,
Blowup,1966-01-01,20000000.00,111,
Blue Jasmine,2013-01-01,99100000.00,98,
Blue Skies,1946-01-01,5700000.00,104,
Blue Sky,1994-01-01,3400000.00,101,
Blue Thunder,1983-01-01,42300000.00,109,
Blue Valentine,2010-01-01,16600000.00,112,
Blue Velvet,1986-01-01,8600000.00,120,
Blues Highway,1994-01-01,,,
Blues in the Night,1941-01-01,,88,
Board and Care,1979-01-01,,26,
Bob & Carol & Ted & Alice,1969-01-01,31900000.00,105,
Bob's Birthday,1993-01-01,,,
Bobi Wine: The People's President,2022-01-01,44486.00,113,
Body and Soul,1947-01-01,3250000.00,104,
Body Team 12,2015-01-01,,13,
Bohemian Rhapsody,2018-01-01,910800000.00,135,
Bolt,2008-01-01,310000000.00,96,
Bombardier,1943-01-01,2000000.00,99,
Bomber: A Defense Report on Film,1941-01-01,,10,
Bombshell,2019-01-01,61400000.00,109,
Bon Voyage!,1962-01-01,5000000.00,130,
Bonnie and Clyde,1967-01-01,70000000.00,111,
Boogaloo and Graham,2014-01-01,,14,
Boogie Nights,1997-01-01,43100000.00,155,
Boom Town,1940-01-01,5000000.00,119,
Boomerang!,1947-01-01,2250000.00,88,
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Gl,2020-01-01,,96,
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006-01-01,262600000.00,84,
Border,2018-01-01,2200000.00,110,
Bored of Education,1936-01-01,,10,
Born Free,1966-01-01,3600000.00,95,
Born into Brothels: Calcutta's Red Light Kids,2004-01-01,3500000.00,85,
Born on the Fourth of July,1989-01-01,162000000.00,145,
Born to Dance,1936-01-01,,106,
Born Yesterday,1950-01-01,4150000.00,102,
